"id","weight"
"CCLE.Cluster 2.carcinoma.NCIH2030_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2085_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2087_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2110_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2122_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2126_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2170_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2172_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2228_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2286_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2291_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2342_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2347_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2405_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH2444_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH322_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH3255_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH358_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH460_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH596_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH647_LUNG",2
"CCLE.Cluster 2.carcinoid-endocrine_tumour.NCIH727_LUNG",2
"CCLE.Cluster 2.carcinoma.NCIH838_LUNG",2
"CCLE.Cluster 2.carcinoma.NIHOVCAR3_OVARY",2
"CCLE.Cluster 2.carcinoma.NUGC2_STOMACH",2
"CCLE.Cluster 2.carcinoma.OAW28_OVARY",2
"CCLE.Cluster 2.carcinoma.OAW42_OVARY",2
"CCLE.Cluster 2.carcinoma.OUMS23_LARGE_INTESTINE",2
"CCLE.Cluster 2.carcinoma.OVCAR4_OVARY",2
"CCLE.Cluster 2.carcinoma.OVCAR8_OVARY",2
"CCLE.Cluster 2.carcinoma.OVISE_OVARY",2
"CCLE.Cluster 2.carcinoma.OVSAHO_OVARY",2
"CCLE.Cluster 2.carcinoma.PANC0213_PANCREAS",2
"CCLE.Cluster 2.carcinoma.PANC0504_PANCREAS",2
"CCLE.Cluster 2.carcinoma.PANC1005_PANCREAS",2
"CCLE.Cluster 2.carcinoma.PANC1_PANCREAS",2
"CCLE.Cluster 2.carcinoma.PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT",2
